replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp
2,9,7,84,96,624,670,0.875,0.636,0.9880793650793651,61.41476190476191,56.12,96.73,0,96,1707410536.0185213
4,6,5,96,71,233,251,0.559,0.711,0.9931666666666666,62.40792857142858,180.67,71.87,0,104,1707410729.1234617
5,7,5,71,102,408,431,0.483,0.738,0.969,63.37692857142858,134.14,102.91,0,112,1707410953.7542634
1,5,6,102,28,559,691,0.499,0.639,0.9998,64.37672857142857,637.89,28.13,0,144,1707411178.7014964
5,5,9,28,68,279,293,0.328,0.847,0.9597111111111111,65.33643968253968,159.01,68.35,0,88,1707411363.1507926
3,6,9,68,64,336,336,0.458,0.739,0.9584444444444444,66.29488412698412,76.46,64.74,0,64,1707411658.9656317
1,6,6,64,35,365,444,0.592,0.608,0.9986666666666667,67.29355079365078,310.66,35.67,0,88,1707411947.30063
4,9,5,35,73,368,387,0.654,0.656,0.9726666666666667,68.26621746031745,20.73,73.0,0,72,1707412115.2441568
6,9,6,73,72,308,308,0.664,0.694,0.9737777777777777,69.23999523809523,24.83,72.87,0,72,1707412313.0771177
3,4,9,72,42,176,189,0.339,0.725,0.9653055555555555,70.20530079365079,294.58,42.33,0,96,1707412507.4573236
6,6,8,42,82,321,333,0.342,0.787,0.955375,71.1606757936508,127.13,82.48,0,88,1707412907.4009933
3,8,9,82,97,765,777,0.698,0.744,0.9699166666666666,72.13059246031746,25.78,97.53,0,96,1707413159.3529372
4,5,5,97,59,173,188,0.441,0.724,0.9882,73.11879246031747,199.91,59.87,0,96,1707413404.3954942
6,7,9,59,97,411,411,0.493,0.779,0.956984126984127,74.07577658730159,62.97,97.29,0,96,1707413654.052191
5,4,4,97,39,81,89,0.331,0.703,0.98275,75.05852658730159,281.94,39.2,0,88,1707413877.8336468
3,7,8,39,99,397,410,0.556,0.736,0.9714285714285714,76.02995515873016,108.91,99.33,0,104,1707414190.4866474
4,9,9,99,170,969,1006,0.722,0.773,0.9661111111111111,76.99606626984126,39.84,170.92,0,168,1707414460.3578665
6,8,7,170,148,321,334,0.649,0.706,0.981125,77.97719126984127,76.41,148.72,0,144,1707414658.0130775
1,8,8,148,65,1298,1518,0.765,0.661,0.9782500000000001,78.95544126984127,288.11,65.87,0,152,1707414869.6444316
1,9,8,65,71,744,813,0.9,0.639,0.979875,79.93531626984128,253.57,71.0,0,144,1707415027.4042952
3,6,9,71,85,351,371,0.513,0.735,0.9671666666666667,80.90248293650795,143.14,85.8,0,104,1707415174.9186852
4,7,6,85,102,435,457,0.608,0.746,0.9868571428571429,81.8893400793651,99.0,102.0,0,104,1707415469.388734
3,6,7,102,72,545,559,0.512,0.687,0.9834761904761905,82.8728162698413,127.56,72.41,0,80,1707415688.0900965
2,4,6,72,31,187,213,0.38,0.722,0.995,83.8678162698413,424.04,31.07,0,104,1707415978.9003592
2,7,7,31,84,703,763,0.619,0.689,0.9868571428571429,84.85467341269845,132.19,84.67,0,96,1707416303.5459
4,5,8,84,51,133,146,0.448,0.734,0.98135,85.83602341269845,235.66,51.67,0,96,1707416523.2418153
6,4,4,51,48,42,47,0.342,0.655,0.9855,86.82152341269845,250.93,48.27,0,96,1707416783.0025752
3,7,5,48,95,582,612,0.591,0.734,0.9844285714285714,87.80595198412702,97.56,95.53,0,96,1707417086.5415885
6,4,4,95,37,86,94,0.314,0.695,0.9785,88.78445198412702,341.66,37.4,0,80,1707417354.0766585
6,4,7,37,40,77,83,0.314,0.707,0.9785,89.76295198412701,248.04,40.27,0,80,1707417669.9638505
2,9,9,40,103,903,947,0.826,0.694,0.9688888888888889,90.7318408730159,103.16,103.95,0,104,1707417973.3747573
5,4,7,103,42,39,44,0.362,0.737,0.9904999999999999,91.7223408730159,349.35,42.67,0,120,1707418168.5406659
1,7,6,42,48,926,1115,0.679,0.633,0.997,92.7193408730159,369.8,48.67,0,144,1707418466.7632463
4,4,5,48,35,58,65,0.377,0.682,0.99425,93.71359087301589,549.87,35.0,0,152,1707418624.5191545
4,7,6,35,131,639,684,0.596,0.78,0.9851428571428571,94.69873373015875,147.34,131.76,0,160,1707418940.2171273
5,6,6,131,80,370,387,0.431,0.75,0.9718333333333333,95.67056706349209,167.38,80.87,0,104,1707419158.9786365
1,4,8,80,21,249,314,0.4,0.731,0.991375,96.66194206349209,465.39,21.47,0,80,1707419397.7401292
4,7,8,21,112,636,653,0.582,0.791,0.9820178571428572,0.0,72.12,112.41,0,112,1707419596.4299335
6,9,9,112,96,422,421,0.649,0.735,0.9537777777777778,0.9537777777777778,23.51,96.93,0,96,1707419818.6653337
5,6,6,96,86,338,356,0.438,0.74,0.973,1.9267777777777777,123.63,86.0,0,96,1707420006.8364968
6,8,4,86,97,290,296,0.653,0.666,0.981625,2.908402777777778,25.51,97.2,0,96,1707420238.3779588
5,9,7,97,96,342,355,0.71,0.695,0.9781746031746031,3.886577380952381,21.82,96.47,0,96,1707420441.4246278
3,7,5,96,79,656,663,0.577,0.707,0.9824285714285714,4.869005952380952,71.13,79.6,0,80,1707420628.9795702
6,4,6,79,38,55,60,0.36,0.711,0.99,5.859005952380953,230.96,38.4,0,72,1707420898.609194
2,4,8,38,32,363,399,0.336,0.815,0.984,6.8430059523809526,412.14,32.16,0,104,1707421217.2178528
2,7,6,32,83,503,534,0.626,0.665,0.9894285714285714,7.832434523809524,150.79,83.33,0,104,1707421557.9126391
3,4,8,83,47,167,177,0.382,0.75,0.98925,8.821684523809523,279.01,47.33,0,104,1707421771.3143113
2,4,6,47,19,125,140,0.374,0.71,0.9935,9.815184523809524,713.37,19.93,0,104,1707422185.1140356
3,9,5,19,96,814,821,0.713,0.719,0.9792222222222222,10.794406746031747,21.89,96.6,0,96,1707422524.4344606
5,4,6,96,46,214,229,0.285,0.783,0.97125,11.765656746031746,216.48,46.81,0,80,1707422767.8048892
2,4,5,46,26,132,147,0.397,0.617,0.99925,12.764906746031746,347.27,26.4,0,72,1707423118.8816285
6,8,6,26,23,118,115,0.444,0.652,0.9555,13.720406746031747,32.03,23.71,0,24,1707423443.9202383
3,4,4,23,17,102,109,0.291,0.677,0.97275,14.693156746031747,170.72,17.8,0,24,1707423658.9463263
2,5,9,17,26,223,250,0.436,0.695,0.9644222222222222,15.657578968253969,143.78,26.94,0,32,1707424047.9199178
3,5,9,26,27,166,171,0.406,0.729,0.9621999999999999,16.619778968253968,139.73,27.07,0,32,1707424308.4997003
5,5,8,27,40,203,210,0.294,0.745,0.951925,17.571703968253967,67.59,40.46,0,40,1707424456.1049016
1,9,6,40,32,691,779,0.896,0.645,0.9995555555555555,18.571259523809523,15.09,32.42,0,32,1707424737.1388934
2,5,4,32,23,96,109,0.451,0.695,0.9902,19.561459523809525,162.77,23.73,0,32,1707424888.6693223
4,4,5,23,21,46,52,0.299,0.649,0.97475,20.536209523809525,128.99,21.89,0,24,1707425141.3205776
2,9,5,21,40,540,554,0.795,0.699,0.9883333333333333,21.52454285714286,21.18,40.2,0,40,1707425448.5549803
1,4,6,40,12,104,133,0.4,0.654,1.0,22.52454285714286,413.54,12.2,0,40,1707425643.4429505
4,4,8,12,18,29,34,0.395,0.786,0.997,23.521542857142858,283.98,18.47,0,40,1707425844.1373022
4,7,9,18,40,277,281,0.558,0.781,0.9664920634920635,24.48803492063492,52.37,40.0,0,40,1707426147.5991635
5,8,9,40,48,196,200,0.465,0.716,0.9376805555555555,25.425715476190476,25.79,48.52,0,48,1707426361.8198044
6,6,4,48,41,119,125,0.477,0.663,0.9795,26.405215476190477,44.22,41.4,0,40,1707426567.7504535
4,7,7,41,32,209,211,0.527,0.692,0.9741428571428572,27.379358333333336,27.98,32.22,0,32,1707426802.4688802
6,9,8,32,24,110,113,0.569,0.683,0.9485972222222222,28.327955555555558,21.96,24.13,0,24,1707427018.9712
5,6,7,24,49,222,236,0.417,0.727,0.9695,29.29745555555556,129.27,49.0,0,56,1707427206.8801963
3,6,9,49,48,376,390,0.494,0.754,0.9661111111111111,30.26356666666667,77.57,48.76,0,48,1707427438.2044532
2,6,9,48,40,578,555,0.249,0.795,0.9298333333333333,31.193400000000004,18.6,40.0,0,40,1707427739.1110802
1,4,9,40,12,47,61,0.4,0.644,0.9715555555555555,32.16495555555556,394.49,12.53,0,40,1707427874.361877
1,8,5,12,40,824,941,0.769,0.618,0.9961249999999999,33.16108055555556,38.25,40.4,0,40,1707428077.2092428
3,6,9,40,32,261,273,0.465,0.76,0.9619444444444445,34.123025,45.71,32.53,0,32,1707428230.8757305
6,5,4,32,30,107,116,0.387,0.679,0.9774,35.100425,71.12,30.6,0,32,1707428525.4171488
4,5,4,30,40,289,290,0.29,0.795,0.958,36.058425,21.77,40.33,0,40,1707428774.290243
6,4,4,40,34,112,122,0.26,0.712,0.965,37.023425,134.44,34.97,0,40,1707428909.6242464
4,6,6,34,39,92,100,0.431,0.661,0.9718333333333333,37.99525833333334,73.72,39.73,0,40,1707429238.0629466
5,6,5,39,40,112,120,0.505,0.655,0.9841666666666666,38.979425000000006,42.92,40.6,0,40,1707429456.3535094
2,7,8,40,40,438,479,0.607,0.72,0.9767142857142858,39.95613928571429,30.81,40.0,0,40,1707429679.3393736
2,6,7,40,32,324,344,0.557,0.723,0.9928333333333333,40.94897261904762,70.59,32.2,0,32,1707429888.812849
4,8,8,32,32,211,219,0.601,0.704,0.963125,41.91209761904762,28.13,32.33,0,32,1707430133.0818193
6,5,6,32,54,102,110,0.42,0.727,0.984,42.89609761904762,137.86,54.67,0,64,1707430326.632489
1,7,5,54,43,797,920,0.699,0.618,0.9998571428571429,43.89595476190477,126.95,43.67,0,48,1707430579.5818443
5,9,6,43,41,221,222,0.676,0.658,0.9751111111111112,44.87106587301588,23.83,41.27,0,40,1707430741.601334
3,7,5,41,48,349,357,0.592,0.715,0.9845714285714285,45.85563730158731,29.44,48.4,0,48,1707430929.0657048
6,8,4,48,49,222,223,0.518,0.678,0.96475,46.82038730158731,22.03,49.03,0,48,1707431182.1159327
5,7,8,49,56,204,209,0.49,0.698,0.95725,47.77763730158731,29.77,56.87,0,56,1707431397.2112985
1,5,7,56,26,173,215,0.499,0.617,0.9879428571428571,48.76558015873017,339.39,26.73,0,72,1707431609.6177874
6,4,5,26,42,154,164,0.293,0.744,0.97325,49.73883015873017,186.06,42.84,0,64,1707431791.8803403
5,4,6,42,32,96,103,0.312,0.718,0.978,50.71683015873017,279.99,32.67,0,72,1707432117.9547665
3,5,9,32,61,278,293,0.445,0.736,0.9707777777777777,51.687607936507945,175.67,61.2,0,88,1707432421.990033
4,6,7,61,54,191,202,0.551,0.715,0.9918333333333333,52.67944126984128,93.19,54.73,0,56,1707432740.9430377
4,6,9,54,48,285,293,0.486,0.773,0.9668888888888889,53.646330158730166,66.18,48.35,0,48,1707432980.2109637
3,9,6,48,56,504,489,0.647,0.703,0.9718888888888889,54.61821904761906,18.79,56.33,0,56,1707433198.4392133
4,9,7,56,65,438,436,0.706,0.739,0.9784444444444444,55.5966634920635,23.04,65.0,0,64,1707433432.921337
4,9,6,65,72,460,469,0.742,0.716,0.9824444444444445,56.579107936507945,22.05,72.93,0,72,1707433620.1901846
2,6,4,72,59,608,660,0.547,0.626,0.9911666666666666,57.57027460317461,211.87,59.06,0,96,1707433807.4457562
5,9,5,59,96,484,486,0.692,0.702,0.9768888888888889,58.5471634920635,21.58,96.67,0,96,1707434037.894425
5,5,5,96,69,160,175,0.436,0.698,0.9872,59.5343634920635,215.08,69.93,0,120,1707434227.690409
2,4,9,69,31,343,386,0.355,0.828,0.98075,60.5151134920635,287.79,31.55,0,72,1707434481.9774735
1,9,6,31,72,1133,1318,0.9,0.617,1.0,61.5151134920635,149.93,72.0,0,88,1707434818.4094198
4,5,4,72,52,297,310,0.391,0.733,0.9782,62.4933134920635,172.23,52.19,0,72,1707434967.9276555
2,8,4,52,81,739,792,0.75,0.671,0.99375,63.4870634920635,74.05,81.0,0,80,1707435238.106585
6,7,6,81,64,218,226,0.486,0.694,0.9694285714285714,64.45649206349206,35.73,64.73,0,64,1707435437.2734354
2,4,9,64,24,262,295,0.346,0.81,0.9765,65.43299206349207,335.98,24.05,0,64,1707435652.5401514
2,9,7,24,72,911,938,0.833,0.671,0.9884126984126984,66.42140476190477,21.91,72.2,0,72,1707435958.2751493
6,9,8,72,72,268,272,0.56,0.709,0.9508472222222222,67.37225198412699,25.08,72.7,0,72,1707436147.0350614
1,6,4,72,34,463,554,0.582,0.66,0.997,68.36925198412699,260.67,34.47,0,72,1707436349.3364449
3,9,4,34,80,723,719,0.658,0.716,0.9731111111111111,69.3423630952381,17.25,80.73,0,80,1707436521.3373883
5,4,6,80,38,108,120,0.335,0.725,0.98375,70.3261130952381,293.22,38.27,0,88,1707436749.5031228
6,8,9,38,60,142,149,0.508,0.698,0.9410555555555555,71.26716865079365,30.16,60.27,0,56,1707437053.7828054
1,5,6,60,22,148,184,0.499,0.627,0.9998,72.26696865079364,302.08,22.87,0,56,1707437253.133426
6,7,6,22,106,332,344,0.476,0.702,0.968,73.23496865079365,111.96,106.07,0,112,1707437437.4780693
5,5,5,106,54,44,49,0.309,0.681,0.9618,74.19676865079364,228.41,54.6,0,96,1707437650.9238975
5,7,9,54,99,284,294,0.606,0.796,0.975015873015873,75.17178452380952,106.85,99.93,0,104,1707437920.0479763
6,7,4,99,107,423,431,0.541,0.713,0.9772857142857143,76.14907023809523,92.49,107.18,0,112,1707438139.2889082
1,4,8,107,20,436,542,0.399,0.701,0.987375,77.13644523809523,892.79,20.32,0,144,1707438358.966827
4,8,8,20,90,439,456,0.654,0.748,0.97525,78.11169523809524,51.17,90.47,0,88,1707438598.4743843
2,5,9,90,39,235,266,0.456,0.717,0.9708666666666667,79.0825619047619,204.67,39.07,0,64,1707438796.0952523
4,6,8,39,74,246,259,0.557,0.732,0.9843333333333333,80.06689523809524,139.29,74.87,0,88,1707439048.5333924
3,4,8,74,39,298,318,0.316,0.815,0.979,81.04589523809524,228.97,39.33,0,72,1707439279.641829
4,8,9,39,72,380,396,0.664,0.765,0.968,82.01389523809524,40.59,72.8,0,72,1707439679.472296
2,5,4,72,45,237,266,0.438,0.647,0.9876,83.00149523809525,264.99,45.33,0,96,1707439873.1972265
1,6,9,45,31,498,601,0.58,0.677,0.9718888888888889,83.97338412698413,358.41,31.13,0,88,1707440131.8806217
1,7,6,31,47,773,931,0.695,0.607,0.9992857142857143,84.97266984126985,251.76,47.6,0,96,1707440303.879329
6,8,8,47,98,445,442,0.562,0.756,0.96475,85.93741984126984,27.87,98.86,0,96,1707440471.8806336
1,7,8,98,43,350,425,0.7,0.641,0.980125,86.91754484126984,275.23,43.8,0,96,1707440698.05513
4,6,6,43,68,120,127,0.478,0.684,0.9796666666666667,87.8972115079365,157.93,68.87,0,88,1707440866.1190803
6,7,9,68,106,345,355,0.555,0.743,0.9618412698412698,88.85905277777778,87.03,106.27,0,104,1707441090.9968696
1,8,6,106,66,620,752,0.8,0.578,0.9963333333333333,89.85538611111112,316.03,66.33,0,168,1707441304.4179738
5,4,4,66,43,129,140,0.312,0.761,0.978,90.83338611111111,410.58,43.87,0,144,1707441458.1269684
3,7,9,43,118,540,562,0.557,0.721,0.9596825396825397,91.79306865079366,153.34,118.27,0,152,1707441781.8185918
2,5,5,118,50,441,486,0.484,0.679,0.9968,92.78986865079365,363.27,50.2,0,144,1707442053.9632804
5,5,7,50,61,85,94,0.352,0.704,0.9704,93.76026865079365,213.29,61.13,0,104,1707442327.2893038
2,9,5,61,102,709,756,0.858,0.608,0.9953333333333333,94.75560198412698,100.1,102.2,0,104,1707442590.2355278
3,8,8,102,80,759,744,0.608,0.715,0.965375,95.72097698412698,18.34,80.85,0,80,1707442779.3744404
1,6,8,80,40,353,432,0.599,0.572,0.9713333333333334,96.69231031746031,325.23,40.27,0,104,1707443038.728165
4,8,8,40,97,568,584,0.608,0.739,0.968375,0.0,40.06,97.05,0,96,1707443200.5513234
3,5,9,97,68,229,243,0.401,0.811,0.9703111111111111,0.9703111111111111,171.57,68.87,0,96,1707443398.15548
1,7,6,68,50,899,1062,0.66,0.669,0.9942857142857143,1.9645968253968253,240.61,50.27,0,96,1707443727.665595
6,8,6,50,97,170,173,0.52,0.674,0.965,2.929596825396825,50.63,97.33,0,96,1707443891.619058
5,7,5,97,79,313,325,0.558,0.727,0.9797142857142858,3.909311111111111,100.0,79.6,0,80,1707444090.38426
1,5,7,79,29,469,565,0.493,0.666,0.9937428571428571,4.903053968253968,342.2,29.07,0,80,1707444305.1097572
5,9,9,29,104,448,464,0.744,0.766,0.9677777777777778,5.8708317460317465,25.4,104.67,0,104,1707444483.3145924
1,9,9,104,120,2801,2922,0.731,0.822,0.9725555555555555,6.843387301587302,15.97,120.4,0,120,1707444672.933912
2,8,9,120,121,1132,1213,0.749,0.707,0.9721805555555556,7.815567857142858,139.92,121.87,0,144,1707444808.1566563
3,9,5,121,153,1182,1199,0.791,0.704,0.9878888888888889,8.803456746031747,27.67,153.65,0,152,1707445017.601786
5,7,4,153,151,302,318,0.581,0.701,0.983,9.786456746031748,109.72,151.94,0,160,1707445258.6467042
1,6,9,151,41,520,556,0.589,0.702,0.9761666666666666,10.762623412698414,317.25,41.2,0,104,1707445469.5491693
3,9,5,41,81,676,682,0.657,0.715,0.973,11.735623412698414,18.92,81.27,0,80,1707445643.6358366
3,8,7,81,112,791,799,0.675,0.679,0.981375,12.716998412698414,33.77,112.2,0,112,1707445868.2585864
6,8,9,112,98,458,444,0.583,0.814,0.9633194444444444,13.680317857142859,28.63,98.23,0,96,1707446113.3459842
4,5,5,98,52,126,140,0.458,0.677,0.9916,14.671917857142859,227.6,52.87,0,96,1707446338.9974766
4,4,6,52,30,59,65,0.384,0.717,0.996,15.667917857142859,404.51,30.4,0,96,1707446596.802115
4,9,5,30,96,378,394,0.706,0.667,0.9784444444444444,16.646362301587303,19.34,96.73,0,96,1707446904.3220704
2,6,5,96,56,419,458,0.552,0.617,0.992,17.638362301587303,177.38,56.53,0,80,1707447093.748755
1,8,8,56,48,1132,1299,0.792,0.698,0.98625,18.6246123015873,186.31,48.13,0,72,1707447317.5656056
3,5,5,48,63,532,556,0.416,0.735,0.9832,19.607812301587302,203.84,63.59,0,104,1707447479.4170568
2,7,5,63,80,866,908,0.643,0.685,0.9918571428571429,20.599669444444444,156.61,80.71,0,104,1707447837.6224005
4,6,7,80,79,380,408,0.495,0.787,0.9825,21.582169444444446,162.42,79.0,0,104,1707448077.8456135
2,6,8,79,63,583,631,0.543,0.685,0.976125,22.558294444444446,204.4,63.73,0,104,1707448317.3638082
3,4,5,63,41,143,154,0.379,0.711,0.99475,23.553044444444446,292.93,41.13,0,96,1707448547.54913
1,4,4,41,18,307,380,0.4,0.638,1.0,24.553044444444446,537.71,18.67,0,80,1707448945.4874544
6,4,7,18,37,93,101,0.293,0.781,0.97325,25.526294444444446,246.93,37.13,0,72,1707449164.716161
5,8,6,37,24,130,134,0.594,0.628,0.9742500000000001,26.500544444444447,23.12,24.0,0,24,1707449463.9445152
6,7,7,24,24,114,119,0.398,0.68,0.954,27.454544444444448,28.09,24.04,0,24,1707449657.8550932
2,9,9,24,32,438,440,0.777,0.726,0.967,28.421544444444446,20.93,32.13,0,32,1707449877.2114697
2,7,7,32,32,224,250,0.56,0.693,0.979,29.400544444444446,23.37,32.0,0,32,1707450066.2736316
3,7,7,32,40,326,331,0.355,0.697,0.9502857142857143,30.35083015873016,48.59,40.48,0,40,1707450275.5546505
5,6,9,40,32,189,189,0.361,0.775,0.9462777777777778,31.29710793650794,29.17,32.32,0,32,1707450416.9802117
3,9,6,32,32,228,238,0.554,0.694,0.9615555555555556,32.25866349206349,18.21,32.0,0,32,1707450658.2980428
4,4,5,32,21,119,127,0.268,0.688,0.967,33.22566349206349,102.47,21.74,0,24,1707450888.628
6,7,9,21,42,137,144,0.413,0.713,0.9382222222222222,34.16388571428571,26.41,42.0,0,40,1707451197.7623188
3,7,6,42,40,326,332,0.511,0.671,0.973,35.13688571428571,24.54,40.0,0,40,1707451409.6426072
6,4,5,40,32,51,56,0.313,0.7,0.9782500000000001,36.115135714285714,148.48,32.27,0,40,1707451673.2499373
3,4,9,32,28,234,244,0.298,0.807,0.9641666666666666,37.07930238095238,173.43,28.3,0,40,1707451991.2838256
5,7,9,28,48,188,190,0.448,0.737,0.9458888888888889,38.025191269841265,25.27,48.05,0,48,1707452398.8823605
